id,question,comparefile,time
1,Describe a difficult work situation or project and how you overcame it.,q21.txt,12
2,What role do you assume when you work within a team?,q22.txt,12
3,"Describe a challenge or problem you faced and how you handled it?
",q23.txt,12
4,"Tell me about a time you made a great presentation.
",q24.txt,12
5,"Describe a time when you had too many to do items on your list. How did you solve the problem?
",q25.txt,12
6,"Describe a situation where you needed information from a coworker who was slow to respond. What did you do?
",q26.txt,12
7,"Tell me about a time when you had to say no?
",q27.txt,12
8,"Tell me about a time when you disagreed with a supervisor.
",q28.txt,12
9,"Talk about a time when you had to work closely with someone whose personality was very different from yours.
",q29.txt,12
10,"Describe a time when you saw some problem and took the initiative to correct it rather than waiting for someone else to do it.
",q210.txt,12
11,Do you prefere work smart or hard?,q211.txt,12
12,Give me an example of a time when you were able to successfully persuade someone,q212.txt,12
